flow,snapshot,value,unit
YZ_CE_to_YZ_NR,2050-02-09 14:00:00,-3100.0,MW
YZ_CE_to_YZ_NR,2050-02-10 15:00:00,912.9729830206272,MW
YZ_CE_to_YZ_NR,2050-02-11 16:00:00,2503.3268785332166,MW
YZ_CE_to_YZ_NR,2050-02-12 17:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-02-13 18:00:00,418.8099414592815,MW
YZ_CE_to_YZ_NR,2050-02-14 19:00:00,-1762.7943536882246,MW
YZ_CE_to_YZ_NR,2050-02-15 20:00:00,826.454071501891,MW
YZ_CE_to_YZ_NR,2050-02-16 21:00:00,2021.4072314867,MW
YZ_CE_to_YZ_NR,2050-02-17 22:00:00,-1477.139512602299,MW
YZ_CE_to_YZ_NR,2050-02-18 23:00:00,11.460425634704052,MW
YZ_CE_to_YZ_NR,2050-02-20 00:00:00,-382.01894233036614,MW
YZ_CE_to_YZ_NR,2050-02-21 01:00:00,1311.2662976256,MW
YZ_CE_to_YZ_NR,2050-02-22 02:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-02-23 03:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-02-24 04:00:00,2127.2809137267222,MW
YZ_CE_to_YZ_NR,2050-02-25 05:00:00,3100.0,MW
YZ_CE_to_YZ_NR,2050-02-26 06:00:00,1694.348300077198,MW
YZ_CE_to_YZ_NR,2050-02-27 07:00:00,2619.806871647713,MW
YZ_CE_to_YZ_NR,2050-02-28 08:00:00,-2159.8247944704176,MW
YZ_CE_to_YZ_NR,2050-03-01 09:00:00,1040.6425411605333,MW
YZ_CE_to_YZ_NR,2050-03-02 10:00:00,1811.6258444993477,MW
YZ_CE_to_YZ_NR,2050-03-03 11:00:00,521.7108461363364,MW
YZ_CE_to_YZ_NR,2050-03-04 12:00:00,-841.4995579474423,MW
YZ_CE_to_YZ_NR,2050-03-05 13:00:00,-1853.676107819941,MW
YZ_CE_to_YZ_NR,2050-03-06 14:00:00,-2535.0608965897995,MW
YZ_CE_to_YZ_NR,2050-03-07 15:00:00,51.49348712339952,MW
YZ_CE_to_YZ_NR,2050-03-08 16:00:00,419.08460788875436,MW
