snapshot,region,status,value,country,unit
2035-10-13 10:00:00,NR,charging,9.600000000009999,XY,MW
2035-10-14 11:00:00,SO,charging,7.57894736843,XY,MW
2035-10-15 12:00:00,CE,charging,8.42105263158,XY,MW
2035-10-16 13:00:00,NR,charging,10.0,XY,MW
2035-10-17 14:00:00,SO,charging,7.8947368420999995,XY,MW
2035-10-18 15:00:00,CE,charging,14.484210526310001,XY,MW
2035-10-19 16:00:00,NR,charging,17.20000000001,XY,MW
2035-10-20 17:00:00,SO,charging,13.57894736843,XY,MW
2035-10-21 18:00:00,CE,charging,14.14736842107,XY,MW
2035-10-22 19:00:00,NR,charging,16.80000000001,XY,MW
2035-10-23 20:00:00,SO,charging,13.263157894750002,XY,MW
2035-10-24 21:00:00,CE,charging,22.90526315791,XY,MW
2035-10-25 22:00:00,NR,charging,27.20000000002,XY,MW
2035-10-26 23:00:00,SO,charging,21.47368421054,XY,MW
2035-10-28 00:00:00,CE,charging,25.26315789475,XY,MW
2035-10-29 01:00:00,NR,charging,30.000000000020002,XY,MW
2035-10-30 02:00:00,SO,charging,23.684210526330002,XY,MW
2035-10-31 03:00:00,CE,charging,26.610526315810002,XY,MW
2035-11-01 04:00:00,NR,charging,31.60000000003,XY,MW
2035-11-02 05:00:00,SO,charging,24.94736842107,XY,MW
2035-11-03 06:00:00,CE,charging,27.957894736849997,XY,MW
2035-11-04 07:00:00,NR,charging,33.20000000002,XY,MW
2035-11-05 08:00:00,SO,charging,26.210526315799996,XY,MW
2035-11-06 09:00:00,CE,charging,27.957894736849997,XY,MW
2035-11-07 10:00:00,NR,charging,33.20000000002,XY,MW
2035-11-08 11:00:00,SO,charging,26.210526315799996,XY,MW
2035-11-09 12:00:00,CE,charging,28.96842105265,XY,MW
2035-11-10 13:00:00,NR,charging,34.400000000030005,XY,MW
2035-11-11 14:00:00,SO,charging,27.157894736870002,XY,MW
2035-11-12 15:00:00,CE,charging,26.610526315810002,XY,MW
2035-11-13 16:00:00,NR,charging,31.60000000003,XY,MW
2035-11-14 17:00:00,SO,charging,24.94736842107,XY,MW
2035-11-15 18:00:00,CE,charging,23.578947368439998,XY,MW
2035-11-16 19:00:00,NR,charging,28.000000000020002,XY,MW
2035-11-17 20:00:00,SO,charging,22.10526315792,XY,MW
2035-11-18 21:00:00,CE,charging,17.85263157896,XY,MW
2035-11-19 22:00:00,NR,charging,21.200000000019998,XY,MW
2035-11-20 23:00:00,SO,charging,16.736842105279997,XY,MW
2035-11-22 00:00:00,CE,charging,14.82105263159,XY,MW
2035-11-23 01:00:00,NR,charging,17.600000000010002,XY,MW
2035-11-24 02:00:00,SO,charging,13.894736842120002,XY,MW
2035-11-25 03:00:00,CE,charging,15.157894736860001,XY,MW
2035-11-26 04:00:00,NR,charging,18.000000000020002,XY,MW
2035-11-27 05:00:00,SO,charging,14.2105263158,XY,MW
2035-11-28 06:00:00,CE,charging,16.505263157900004,XY,MW
2035-11-29 07:00:00,NR,charging,19.600000000010002,XY,MW
2035-11-30 08:00:00,SO,charging,15.473684210530001,XY,MW
2035-12-01 09:00:00,CE,charging,17.5157894737,XY,MW
2035-12-02 10:00:00,NR,charging,20.80000000002,XY,MW
2035-12-03 11:00:00,SO,charging,16.42105263159,XY,MW
2035-12-04 12:00:00,CE,charging,12.80000000001,XY,MW
2035-12-05 13:00:00,NR,charging,15.20000000001,XY,MW
2035-12-06 14:00:00,SO,charging,12.000000000010001,XY,MW
2035-12-07 15:00:00,CE,charging,14.14736842107,XY,MW
2035-12-08 16:00:00,NR,charging,16.80000000001,XY,MW
2035-12-09 17:00:00,SO,charging,13.263157894750002,XY,MW
2035-12-10 18:00:00,CE,charging,12.12631578948,XY,MW
2035-12-11 19:00:00,NR,charging,14.40000000001,XY,MW
2035-12-12 20:00:00,SO,charging,11.36842105265,XY,MW
2035-12-13 21:00:00,CE,charging,9.09473684211,XY,MW
2035-12-14 22:00:00,NR,charging,10.80000000001,XY,MW
2035-12-15 23:00:00,SO,charging,8.52631578949,XY,MW
2035-12-17 00:00:00,CE,charging,1.01052631579,XY,MW
2035-12-18 01:00:00,NR,charging,1.200000000001,XY,MW
2035-12-19 02:00:00,SO,charging,0.947368421053,XY,MW
2035-12-20 03:00:00,CE,charging,7.07368421052,XY,MW
2035-12-21 04:00:00,NR,charging,8.4,XY,MW
2035-12-22 05:00:00,SO,charging,6.63157894737,XY,MW
2035-12-23 06:00:00,CE,charging,7.41052631579,XY,MW
2035-12-24 07:00:00,NR,charging,8.800000000010002,XY,MW
2035-12-25 08:00:00,SO,charging,6.947368421050001,XY,MW
2035-12-26 09:00:00,CE,charging,10.77894736843,XY,MW
2035-12-27 10:00:00,NR,charging,12.80000000001,XY,MW
2035-12-28 11:00:00,SO,charging,10.10526315791,XY,MW
2035-12-29 12:00:00,CE,charging,12.12631578948,XY,MW
2035-12-30 13:00:00,NR,charging,14.40000000001,XY,MW
2035-12-31 14:00:00,SO,charging,11.36842105265,XY,MW
2036-01-01 15:00:00,CE,charging,16.505263157900004,XY,MW
2036-01-02 16:00:00,NR,charging,19.600000000010002,XY,MW
2036-01-03 17:00:00,SO,charging,15.473684210530001,XY,MW
2036-01-04 18:00:00,CE,charging,18.189473684230002,XY,MW
2036-01-05 19:00:00,NR,charging,21.60000000002,XY,MW
2036-01-06 20:00:00,SO,charging,17.05263157897,XY,MW
2036-01-07 21:00:00,CE,charging,18.189473684230002,XY,MW
2036-01-08 22:00:00,NR,charging,21.60000000002,XY,MW
2036-01-09 23:00:00,SO,charging,17.05263157897,XY,MW
2036-01-11 00:00:00,CE,charging,22.23157894738,XY,MW
2036-01-12 01:00:00,NR,charging,26.40000000002,XY,MW
2036-01-13 02:00:00,SO,charging,20.842105263180002,XY,MW
2036-01-14 03:00:00,CE,charging,24.92631578949,XY,MW
2036-01-15 04:00:00,NR,charging,29.60000000002,XY,MW
2036-01-16 05:00:00,SO,charging,23.368421052659997,XY,MW
2036-01-17 06:00:00,CE,charging,28.96842105265,XY,MW
2036-01-18 07:00:00,NR,charging,34.400000000030005,XY,MW
2036-01-19 08:00:00,SO,charging,27.157894736870002,XY,MW
2036-01-20 09:00:00,CE,charging,29.64210526318,XY,MW
2036-01-21 10:00:00,NR,charging,35.20000000003,XY,MW
2036-01-22 11:00:00,SO,charging,27.78947368424,XY,MW
2036-01-23 12:00:00,CE,charging,27.6210526316,XY,MW
2036-01-24 13:00:00,NR,charging,32.80000000002,XY,MW
2036-01-25 14:00:00,SO,charging,25.89473684213,XY,MW
2036-01-26 15:00:00,CE,charging,29.64210526318,XY,MW
2036-01-27 16:00:00,NR,charging,35.20000000003,XY,MW
2036-01-28 17:00:00,SO,charging,27.78947368424,XY,MW
2036-01-29 18:00:00,CE,charging,28.96842105265,XY,MW
2036-01-30 19:00:00,NR,charging,34.400000000030005,XY,MW
2036-01-31 20:00:00,SO,charging,27.157894736870002,XY,MW
2036-02-01 21:00:00,CE,charging,28.63157894738,XY,MW
2036-02-02 22:00:00,NR,charging,34.00000000002,XY,MW
2036-02-03 23:00:00,SO,charging,26.84210526318,XY,MW
2036-02-05 00:00:00,CE,charging,12.80000000001,XY,MW
2036-02-06 01:00:00,NR,charging,15.20000000001,XY,MW
2036-02-07 02:00:00,SO,charging,12.000000000010001,XY,MW
2036-02-08 03:00:00,CE,charging,13.81052631579,XY,MW
2036-02-09 04:00:00,NR,charging,16.40000000001,XY,MW
2036-02-10 05:00:00,SO,charging,12.94736842105,XY,MW
2036-02-11 06:00:00,CE,charging,14.484210526310001,XY,MW
