flow,snapshot,value,unit
XY_CE_to_XY_NR,2030-09-28 20:00:00,-1240.0249999980388,MW
XY_CE_to_XY_NR,2030-09-29 21:00:00,-1170.6249999980644,MW
XY_CE_to_XY_NR,2030-09-30 22:00:00,-1152.4579999980285,MW
XY_CE_to_XY_NR,2030-10-01 23:00:00,-1164.2749999980322,MW
XY_CE_to_XY_NR,2030-10-03 00:00:00,-1299.1749999980489,MW
XY_CE_to_XY_NR,2030-10-04 01:00:00,-1321.6749999980498,MW
XY_CE_to_XY_NR,2030-10-05 02:00:00,-1436.624999998046,MW
XY_CE_to_XY_NR,2030-10-06 03:00:00,-1462.2499999980448,MW
XY_CE_to_XY_NR,2030-10-07 04:00:00,-1492.4499999980453,MW
XY_CE_to_XY_NR,2030-10-08 05:00:00,-1485.9539473664854,MW
XY_CE_to_XY_NR,2030-10-09 06:00:00,-1440.2499999980462,MW
XY_CE_to_XY_NR,2030-10-10 07:00:00,-1225.2749999980488,MW
XY_CE_to_XY_NR,2030-10-11 08:00:00,-1212.3749999980528,MW
XY_CE_to_XY_NR,2030-10-12 09:00:00,-1299.8499999980556,MW
XY_CE_to_XY_NR,2030-10-13 10:00:00,-1080.3999999980556,MW
XY_CE_to_XY_NR,2030-10-14 11:00:00,-1148.074999998057,MW
XY_CE_to_XY_NR,2030-10-15 12:00:00,-1475.6749999980568,MW
XY_CE_to_XY_NR,2030-10-16 13:00:00,-1128.6749999980582,MW
XY_CE_to_XY_NR,2030-10-17 14:00:00,-1688.6749999980573,MW
XY_CE_to_XY_NR,2030-10-18 15:00:00,-1618.6749999980593,MW
XY_CE_to_XY_NR,2030-10-19 16:00:00,-1231.349999998062,MW
XY_CE_to_XY_NR,2030-10-20 17:00:00,-1250.8999999980679,MW
XY_CE_to_XY_NR,2030-10-21 18:00:00,-842.9999999980378,MW
XY_CE_to_XY_NR,2030-10-22 19:00:00,-740.6499999980425,MW
XY_CE_to_XY_NR,2030-10-23 20:00:00,-1073.850999998033,MW
XY_CE_to_XY_NR,2030-10-24 21:00:00,-1100.9749999980577,MW
XY_CE_to_XY_NR,2030-10-25 22:00:00,-1140.7749999980556,MW
XY_CE_to_XY_NR,2030-10-26 23:00:00,-1298.5499999980548,MW
XY_CE_to_XY_NR,2030-10-28 00:00:00,-1364.9999999980544,MW
XY_CE_to_XY_NR,2030-10-29 01:00:00,-1327.1999999980499,MW
XY_CE_to_XY_NR,2030-10-30 02:00:00,-1454.9749999980463,MW
XY_CE_to_XY_NR,2030-10-31 03:00:00,-1484.3249999980437,MW
XY_CE_to_XY_NR,2030-11-01 04:00:00,-1501.6999999980435,MW
XY_CE_to_XY_NR,2030-11-02 05:00:00,-1553.674999998044,MW
XY_CE_to_XY_NR,2030-11-03 06:00:00,-1513.6249999980441,MW
XY_CE_to_XY_NR,2030-11-04 07:00:00,-1313.1999999980437,MW
XY_CE_to_XY_NR,2030-11-05 08:00:00,-1286.727631577017,MW
XY_CE_to_XY_NR,2030-11-06 09:00:00,-1248.774999998058,MW
XY_CE_to_XY_NR,2030-11-07 10:00:00,-1294.2749999980572,MW
XY_CE_to_XY_NR,2030-11-08 11:00:00,-870.1204213359463,MW
XY_CE_to_XY_NR,2030-11-09 12:00:00,-867.6227272710564,MW
XY_CE_to_XY_NR,2030-11-10 13:00:00,-998.1727272710586,MW
XY_CE_to_XY_NR,2030-11-11 14:00:00,-657.8477272710593,MW
XY_CE_to_XY_NR,2030-11-12 15:00:00,-1398.8749999980596,MW
XY_CE_to_XY_NR,2030-11-13 16:00:00,-1258.6749999980602,MW
XY_CE_to_XY_NR,2030-11-14 17:00:00,-808.8749999980614,MW
XY_CE_to_XY_NR,2030-11-15 18:00:00,-839.4749999980634,MW
XY_CE_to_XY_NR,2030-11-16 19:00:00,-868.3499999980645,MW
XY_CE_to_XY_NR,2030-11-17 20:00:00,-1147.3999999980654,MW
XY_CE_to_XY_NR,2030-11-18 21:00:00,-899.7109999980294,MW
XY_CE_to_XY_NR,2030-11-19 22:00:00,-1186.6749999980575,MW
XY_CE_to_XY_NR,2030-11-20 23:00:00,-1249.2749999980515,MW
XY_CE_to_XY_NR,2030-11-22 00:00:00,-1369.174999998049,MW
XY_CE_to_XY_NR,2030-11-23 01:00:00,-1470.3499999980472,MW
XY_CE_to_XY_NR,2030-11-24 02:00:00,-1513.4999999980462,MW
XY_CE_to_XY_NR,2030-11-25 03:00:00,-1342.374999998046,MW
XY_CE_to_XY_NR,2030-11-26 04:00:00,-1554.1105263138536,MW
XY_CE_to_XY_NR,2030-11-27 05:00:00,-1523.4499999980435,MW
